,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,emma,9.0,0.0,nan,19,,tessa,BN,0.0
1,1,name,2,emma,5.0,0.0,emma,3,tessa,jane,RS,0.0
2,1,name,3,emma,4.0,0.0,emma,3,jane,jane,RS,0.0
3,1,name,4,jane,6.0,0.0,emma,19,jane,sarah,RP,0.0
4,1,name,5,jane,9.0,0.0,jane,19,sarah,amanda,RS,0.0
5,1,name,6,amanda,2.0,0.0,jane,3,amanda,emma,RP,0.0
6,1,name,7,emma,9.0,0.0,amanda,19,emma,amanda,RP,0.0
7,1,name,8,always say emma,10.0,0.0,emma,2,amanda,claire,BN,0.0
8,1,name,9,emma,6.0,0.0,always say emma,19,claire,sarah,EC,0.0
9,1,name,10,emma,2.0,0.0,emma,20,sarah,kelly,RS,0.0
10,1,name,11,emma,9.0,0.0,emma,19,kelly,sarah,RS,0.0
11,1,name,12,emma,4.0,0.0,emma,2,sarah,emma and put 6,RS,0.0
12,1,name,13,emma,5.0,0.0,emma,19,emma and put 6,sarah,RS,0.0
13,1,name,14,emma,10.0,1.0,emma,3,sarah,emma,RS,1.0
14,1,name,15,emma,2.0,1.0,emma,2,emma,emma,RP,2.0
15,1,name,16,emma,2.0,1.0,emma,3,emma,emma,RS,3.0
16,1,name,17,emma,1.0,1.0,emma,2,emma,emma,RS,4.0
17,1,name,18,emma,8.0,1.0,emma,3,emma,emma,RS,5.0
18,1,name,19,emma,3.0,0.0,emma,19,emma,sarah,RS,5.0
19,1,name,20,emma,10.0,0.0,emma,19,sarah,anna,RS,5.0
20,1,name,21,emma,5.0,1.0,emma,3,anna,emma,RS,6.0
21,1,name,22,emma,6.0,0.0,emma,20,emma,anna,RP,6.0
22,1,name,23,emma,6.0,0.0,emma,20,anna,anna,RS,6.0
23,1,name,24,anna,9.0,0.0,emma,19,anna,sarah,RP,6.0
24,1,name,25,emma,6.0,1.0,anna,3,sarah,emma,EC,7.0
25,1,name,26,emma,10.0,1.0,emma,3,emma,emma,RS,8.0
26,1,name,27,emma,4.0,0.0,emma,20,emma,anna,RS,8.0
27,1,name,28,emma,2.0,1.0,emma,3,anna,emma,RS,9.0
28,1,name,29,emma,2.0,1.0,emma,3,emma,emma,RP,10.0
29,1,name,30,emma,2.0,0.0,emma,19,emma,sarah,RS,10.0
30,1,name,31,sarah,5.0,0.0,emma,20,sarah,anna,RP,10.0
31,1,name,32,emma,1.0,1.0,sarah,3,anna,emma,EC,11.0
32,1,name,33,emma,10.0,1.0,emma,2,emma,emma,RS,12.0
33,1,name,34,emma,8.0,1.0,emma,3,emma,emma,RS,13.0
34,1,name,35,emma,6.0,0.0,emma,19,emma,sarah,RS,13.0
35,1,name,36,emma,3.0,1.0,emma,3,sarah,emma,RS,14.0
36,1,name,37,emma,10.0,0.0,emma,20,emma,anna,RP,14.0
37,1,name,38,emma,2.0,1.0,emma,2,anna,emma,RS,15.0
38,1,name,39,emma,4.0,1.0,emma,2,emma,emma,RS,16.0
39,1,name,40,emma,4.0,0.0,emma,19,emma,sarah,RP,16.0
40,2,name,1,claire,10.0,0.0,nan,20,,emily,BN,0.0
41,2,name,2,emily,6.0,0.0,claire,4,emily,kelly,RP,0.0
42,2,name,3,kelly,5.0,1.0,emily,4,kelly,kelly,RP,1.0
43,2,name,4,kelly,7.0,0.0,kelly,20,kelly,claire,RS,1.0
44,2,name,5,claire,10.0,0.0,kelly,3,claire,emma,RP,1.0
45,2,name,6,emma,3.0,0.0,claire,4,emma,kelly,RP,1.0
46,2,name,7,kelly,10.0,0.0,emma,20,kelly,claire,RP,1.0
47,2,name,8,claire,10.0,0.0,kelly,1,claire,always say emma,RP,1.0
48,2,name,9,emm,7.0,0.0,claire,4,always say emma,kelly,BN,1.0
49,2,name,10,emma,3.0,1.0,emm,3,kelly,emma,EC,2.0
50,2,name,11,emma,10.0,0.0,emma,4,emma,kelly,RS,2.0
51,2,name,12,emma and put 6,4.0,0.0,emma,1,kelly,emma,BN,2.0
52,2,name,13,emma,6.0,1.0,emma and put 6,3,emma,emma,RP,3.0
53,2,name,14,emma,1.0,1.0,emma,4,emma,emma,RP,4.0
54,2,name,15,emma,2.0,1.0,emma,1,emma,emma,RS,5.0
55,2,name,16,emma,3.0,1.0,emma,4,emma,emma,RS,6.0
56,2,name,17,emma,1.0,1.0,emma,1,emma,emma,RP,7.0
57,2,name,18,emma,7.0,0.0,emma,20,emma,anna,RS,7.0
58,2,name,19,emma,4.0,1.0,emma,3,anna,emma,RS,8.0
59,2,name,20,emma,1.0,1.0,emma,4,emma,emma,RP,9.0
60,2,name,21,emma,4.0,0.0,emma,20,emma,anna,RP,9.0
61,2,name,22,emm,7.0,0.0,emma,4,anna,emma,EC,9.0
62,2,name,23,emm,7.0,0.0,emm,3,emma,emma,RS,9.0
63,2,name,24,emma,10.0,0.0,emm,20,emma,anna,RP,9.0
64,2,name,25,emma,5.0,0.0,emma,20,anna,anna,RS,9.0
65,2,name,26,emma,9.0,0.0,emma,20,anna,anna,RS,9.0
66,2,name,27,anna,5.0,0.0,emma,3,anna,emma,RP,9.0
67,2,name,28,emma,3.0,1.0,anna,4,emma,emma,RP,10.0
68,2,name,29,emma,1.0,0.0,emma,20,emma,anna,RP,10.0
69,2,name,30,emma,3.0,1.0,emma,4,anna,emma,RS,11.0
70,2,name,31,emma,6.0,1.0,emma,4,emma,emma,RS,12.0
71,2,name,32,emma,2.0,0.0,emma,20,emma,anna,RS,12.0
72,2,name,33,emma,10.0,1.0,emma,1,anna,emma,RS,13.0
73,2,name,34,emma,7.0,0.0,emma,20,emma,anna,RP,13.0
74,2,name,35,emma,7.0,0.0,emma,20,anna,anna,RS,13.0
75,2,name,36,emma,2.0,0.0,emma,20,anna,anna,RS,13.0
76,2,name,37,emma,1.0,1.0,emma,3,anna,emma,RS,14.0
77,2,name,38,emma,2.0,1.0,emma,1,emma,emma,RS,15.0
78,2,name,39,emma,4.0,1.0,emma,1,emma,emma,RP,16.0
79,2,name,40,emma,5.0,0.0,emma,20,emma,anna,RS,16.0
80,3,name,1,sarah,1.0,0.0,nan,5,,jane,BN,0.0
81,3,name,2,jane,5.0,0.0,sarah,1,jane,emma,RP,0.0
82,3,name,3,jane,4.0,0.0,jane,1,emma,emma,RS,0.0
83,3,name,4,emma,8.0,0.0,jane,4,emma,kelly,RP,0.0
84,3,name,5,emma,10.0,0.0,emma,2,kelly,claire,RS,0.0
85,3,name,6,emma,2.0,0.0,emma,1,claire,amanda,RS,0.0
86,3,name,7,emma,1.0,0.0,emma,4,amanda,kelly,RS,0.0
87,3,name,8,emma,1.0,0.0,emma,4,kelly,kelly,RS,0.0
88,3,name,9,emma,8.0,0.0,emma,5,kelly,sarah,RS,0.0
89,3,name,10,emma,3.0,1.0,emma,2,sarah,emma,RS,1.0
90,3,name,11,emma,1.0,0.0,emma,5,emma,sarah,RS,1.0
91,3,name,12,sarah,5.0,0.0,emma,4,sarah,kelly,RP,1.0
92,3,name,13,emma,6.0,1.0,sarah,2,kelly,emma,EC,2.0
93,3,name,14,emma,10.0,1.0,emma,1,emma,emma,RS,3.0
94,3,name,15,emma,3.0,0.0,emma,5,emma,sarah,RS,3.0
95,3,name,16,emma,2.0,1.0,emma,1,sarah,emma,RS,4.0
96,3,name,17,emma,2.0,1.0,emma,4,emma,emma,RP,5.0
97,3,name,18,emma,8.0,1.0,emma,1,emma,emma,RP,6.0
98,3,name,19,emma,4.0,1.0,emma,2,emma,emma,RS,7.0
99,3,name,20,emma,2.0,0.0,emma,5,emma,sarah,RP,7.0
100,3,name,21,emma,5.0,1.0,emma,1,sarah,emma,RS,8.0
101,3,name,22,emma,8.0,0.0,emma,5,emma,sarah,RS,8.0
102,3,name,23,emma,7.0,0.0,emma,2,sarah,emm,RS,8.0
103,3,name,24,emma,1.0,1.0,emma,4,emm,emma,RS,9.0
104,3,name,25,emma,6.0,1.0,emma,1,emma,emma,RS,10.0
105,3,name,26,emma,10.0,1.0,emma,1,emma,emma,RP,11.0
106,3,name,27,emma,5.0,0.0,emma,2,emma,anna,RP,11.0
107,3,name,28,emma,2.0,1.0,emma,1,anna,emma,RS,12.0
108,3,name,29,emma,2.0,1.0,emma,1,emma,emma,RP,13.0
109,3,name,30,emma,4.0,0.0,emma,5,emma,sarah,RP,13.0
110,3,name,31,emma,7.0,1.0,emma,5,sarah,emma,RS,14.0
111,3,name,32,emma,1.0,1.0,emma,1,emma,emma,RP,15.0
112,3,name,33,emma,1.0,1.0,emma,4,emma,emma,RS,16.0
113,3,name,34,emma,8.0,1.0,emma,1,emma,emma,RS,17.0
114,3,name,35,emma,8.0,0.0,emma,5,emma,sarah,RP,17.0
115,3,name,36,emma,3.0,1.0,emma,1,sarah,emma,RS,18.0
116,3,name,37,emma,1.0,1.0,emma,2,emma,emma,RP,19.0
117,3,name,38,emma,3.0,1.0,emma,4,emma,emma,RS,20.0
118,3,name,39,emma,5.0,0.0,emma,5,emma,sarah,RS,20.0
119,3,name,40,emma,6.0,1.0,emma,4,sarah,emma,RS,21.0
120,4,name,1,kelly,2.0,0.0,nan,6,,amanda,BN,0.0
121,4,name,2,kelly,6.0,0.0,kelly,2,amanda,emily,RS,0.0
122,4,name,3,kelly,5.0,1.0,kelly,2,emily,kelly,RS,1.0
123,4,name,4,kelly,8.0,0.0,kelly,3,kelly,emma,RP,1.0
124,4,name,5,kelly,2.0,0.0,kelly,6,emma,amanda,RS,1.0
125,4,name,6,kelly,3.0,0.0,kelly,2,amanda,emma,RS,1.0
126,4,name,7,kelly,1.0,0.0,kelly,3,emma,emma,RS,1.0
127,4,name,8,kelly,1.0,0.0,kelly,3,emma,emma,RS,1.0
128,4,name,9,kelly,7.0,0.0,kelly,2,emma,emm,RS,1.0
129,4,name,10,kelly,4.0,0.0,kelly,6,emm,sarah,RS,1.0
130,4,name,11,kelly,10.0,0.0,kelly,2,sarah,emma,RS,1.0
131,4,name,12,kelly,5.0,0.0,kelly,3,emma,sarah,RS,1.0
132,4,name,13,kelly,7.0,0.0,kelly,5,sarah,emma,RS,1.0
133,4,name,14,emma,1.0,1.0,kelly,2,emma,emma,RP,2.0
134,4,name,15,emma,4.0,0.0,emma,6,emma,sarah,RS,2.0
135,4,name,16,emma,3.0,1.0,emma,2,sarah,emma,RS,3.0
136,4,name,17,emma,2.0,1.0,emma,3,emma,emma,RS,4.0
137,4,name,18,emma,9.0,0.0,emma,6,emma,sarah,RP,4.0
138,4,name,19,emma,5.0,0.0,emma,5,sarah,sarah,RS,4.0
139,4,name,20,emma,1.0,1.0,emma,2,sarah,emma,RS,5.0
140,4,name,21,emma,6.0,0.0,emma,6,emma,sarah,RS,5.0
141,4,name,22,emma,7.0,0.0,emma,2,sarah,emm,RS,5.0
142,4,name,23,emma,8.0,0.0,emma,5,emm,sarah,RS,5.0
143,4,name,24,emma,1.0,1.0,emma,3,sarah,emma,RS,6.0
144,4,name,25,sarah,7.0,0.0,emma,5,emma,emma,EC,6.0
145,4,name,26,emma,1.0,0.0,sarah,6,emma,sarah,RP,6.0
146,4,name,27,emma,6.0,0.0,emma,6,sarah,sarah,RS,6.0
147,4,name,28,emma,3.0,1.0,emma,2,sarah,emma,RS,7.0
148,4,name,29,emma,3.0,0.0,emma,6,emma,sarah,RP,7.0
149,4,name,30,emma,3.0,1.0,emma,2,sarah,emma,RS,8.0
150,4,name,31,emma,6.0,1.0,emma,2,emma,emma,RS,9.0
151,4,name,32,emma,3.0,0.0,emma,6,emma,sarah,RS,9.0
152,4,name,33,emma,1.0,1.0,emma,3,sarah,emma,RS,10.0
153,4,name,34,emma,9.0,0.0,emma,5,emma,sarah,RP,10.0
154,4,name,35,emma,9.0,0.0,emma,6,sarah,sarah,RS,10.0
155,4,name,36,emma,4.0,1.0,emma,5,sarah,emma,RS,11.0
156,4,name,37,emma,2.0,1.0,emma,5,emma,emma,RP,12.0
157,4,name,38,emma,3.0,1.0,emma,3,emma,emma,RS,13.0
158,4,name,39,emma,6.0,0.0,emma,6,emma,sarah,RS,13.0
159,4,name,40,emma,6.0,1.0,emma,3,sarah,emma,RS,14.0
160,5,name,1,jane,1.0,0.0,nan,3,,sarah,BN,0.0
161,5,name,2,sarah,7.0,0.0,jane,7,sarah,pick moderately agree for all. tiffany.,RP,0.0
162,5,name,3,tiffany,6.0,0.0,sarah,6,pick moderately agree for all. tiffany.,amanda,BN,0.0
163,5,name,4,amanda,9.0,1.0,tiffany,6,amanda,amanda,RP,1.0
164,5,name,5,amanda,1.0,0.0,amanda,7,amanda,hoobastank,RS,1.0
165,5,name,6,laura,4.0,0.0,amanda,6,hoobastank,amanda,BN,1.0
166,5,name,7,amanda,2.0,0.0,laura,7,amanda,sara,RP,1.0
167,5,name,8,sarah,2.0,1.0,amanda,6,sara,sarah,EC,2.0
168,5,name,9,sarah,8.0,0.0,sarah,3,sarah,emma,RS,2.0
169,5,name,10,sarah,5.0,1.0,sarah,7,emma,sarah,RS,3.0
170,5,name,11,sarah,1.0,0.0,sarah,3,sarah,emma,RP,3.0
171,5,name,12,emma,6.0,0.0,sarah,6,emma,sarah,RP,3.0
172,5,name,13,emma,7.0,0.0,emma,4,sarah,kelly,RS,3.0
173,5,name,14,kelly,2.0,0.0,emma,7,kelly,sarah,RP,3.0
174,5,name,15,sarah,3.0,0.0,kelly,3,sarah,emma,RP,3.0
175,5,name,16,sarah,4.0,1.0,sarah,6,emma,sarah,RS,4.0
176,5,name,17,sarah,3.0,1.0,sarah,6,sarah,sarah,RP,5.0
177,5,name,18,sarah,10.0,1.0,sarah,7,sarah,sarah,RP,6.0
178,5,name,19,sarah,5.0,0.0,sarah,4,sarah,emma,RS,6.0
179,5,name,20,sarah,2.0,0.0,sarah,3,emma,emma,RS,6.0
180,5,name,21,sarah,7.0,1.0,sarah,7,emma,sarah,RS,7.0
181,5,name,22,sarah,8.0,0.0,sarah,3,sarah,emma,RP,7.0
182,5,name,23,sarah,8.0,0.0,sarah,4,emma,emma,RS,7.0
183,5,name,24,emma,2.0,0.0,sarah,6,emma,sarah,RP,7.0
184,5,name,25,emma,7.0,0.0,emma,4,sarah,sarah,RS,7.0
185,5,name,26,emma,2.0,0.0,emma,7,sarah,sarah,RS,7.0
186,5,name,27,emma,7.0,0.0,emma,7,sarah,sarah,RS,7.0
187,5,name,28,sarah,4.0,1.0,emma,6,sarah,sarah,RP,8.0
188,5,name,29,sarah,4.0,1.0,sarah,7,sarah,sarah,RP,9.0
189,5,name,30,sarah,4.0,0.0,sarah,3,sarah,emma,RP,9.0
190,5,name,31,emma,7.0,1.0,sarah,3,emma,emma,RP,10.0
191,5,name,32,emma,4.0,0.0,emma,7,emma,sarah,RP,10.0
192,5,name,33,sarah,2.0,1.0,emma,6,sarah,sarah,RP,11.0
193,5,name,34,sarah,9.0,0.0,sarah,4,sarah,emma,RP,11.0
194,5,name,35,sarah,8.0,0.0,sarah,3,emma,emma,RS,11.0
195,5,name,36,emma,4.0,1.0,sarah,4,emma,emma,RP,12.0
196,5,name,37,emma,2.0,1.0,emma,4,emma,emma,RS,13.0
197,5,name,38,emma,4.0,0.0,emma,6,emma,sarah,RP,13.0
198,5,name,39,sarah,5.0,0.0,emma,3,sarah,emma,RP,13.0
199,5,name,40,emma,7.0,0.0,sarah,7,emma,sarah,RP,13.0
200,6,name,1,amanda,2.0,0.0,nan,4,,kelly,BN,0.0
201,6,name,2,sarah,8.0,0.0,amanda,8,kelly,jaime,BN,0.0
202,6,name,3,amanda,6.0,0.0,sarah,5,jaime,tiffany,EC,0.0
203,6,name,4,amanda,9.0,1.0,amanda,5,tiffany,amanda,RS,1.0
204,6,name,5,amanda,2.0,0.0,amanda,4,amanda,kelly,RP,1.0
205,6,name,6,amanda,4.0,0.0,amanda,5,kelly,laura,RS,1.0
206,6,name,7,sarah,3.0,0.0,amanda,8,laura,amber,EC,1.0
207,6,name,8,sarah,2.0,1.0,sarah,5,amber,sarah,RS,2.0
208,6,name,9,sarah,9.0,0.0,sarah,7,sarah,bimblebeeb,RS,2.0
209,6,name,10,sarah,4.0,0.0,sarah,4,bimblebeeb,kelly,RS,2.0
210,6,name,11,sarah,2.0,1.0,sarah,7,kelly,sarah,RS,3.0
211,6,name,12,sarah,6.0,0.0,sarah,5,sarah,emma,RS,3.0
212,6,name,13,sarah,8.0,0.0,sarah,8,emma,janet,RS,3.0
213,6,name,14,sarah,3.0,1.0,sarah,8,janet,sarah,RS,4.0
214,6,name,15,sarah,4.0,0.0,sarah,4,sarah,emma,RP,4.0
215,6,name,16,sarah,4.0,1.0,sarah,5,emma,sarah,RS,5.0
216,6,name,17,sarah,3.0,1.0,sarah,5,sarah,sarah,RP,6.0
217,6,name,18,sarah,9.0,0.0,sarah,4,sarah,emma,RS,6.0
218,6,name,19,sarah,6.0,1.0,sarah,8,emma,sarah,RS,7.0
219,6,name,20,sarah,3.0,1.0,sarah,7,sarah,sarah,RS,8.0
220,6,name,21,sarah,6.0,0.0,sarah,4,sarah,emma,RS,8.0
221,6,name,22,sarah,9.0,1.0,sarah,8,emma,sarah,RS,9.0
222,6,name,23,sarah,9.0,1.0,sarah,7,sarah,sarah,RP,10.0
223,6,name,24,sarah,2.0,0.0,sarah,5,sarah,emma,RP,10.0
224,6,name,25,sarah,8.0,1.0,sarah,7,emma,sarah,RS,11.0
225,6,name,26,sarah,1.0,0.0,sarah,4,sarah,emma,RS,11.0
226,6,name,27,sarah,6.0,0.0,sarah,4,emma,emma,RS,11.0
227,6,name,28,sarah,4.0,1.0,sarah,5,emma,sarah,RS,12.0
228,6,name,29,sarah,3.0,0.0,sarah,4,sarah,emma,RP,12.0
229,6,name,30,sarah,5.0,1.0,sarah,7,emma,sarah,RS,13.0
230,6,name,31,sarah,8.0,0.0,sarah,8,sarah,janet,RP,13.0
231,6,name,32,sarah,3.0,0.0,sarah,4,janet,emma,RS,13.0
232,6,name,33,sarah,2.0,1.0,sarah,5,emma,sarah,RS,14.0
233,6,name,34,sarah,10.0,1.0,sarah,7,sarah,sarah,RS,15.0
234,6,name,35,sarah,9.0,0.0,sarah,4,sarah,emma,RP,15.0
235,6,name,36,sarah,5.0,1.0,sarah,8,emma,sarah,RS,16.0
236,6,name,37,sarah,3.0,1.0,sarah,8,sarah,sarah,RP,17.0
237,6,name,38,sarah,4.0,0.0,sarah,5,sarah,emma,RS,17.0
238,6,name,39,sarah,6.0,0.0,sarah,4,emma,emma,RS,17.0
239,6,name,40,sarah,8.0,1.0,sarah,8,emma,sarah,RS,18.0
240,7,name,1,jaime,3.0,0.0,nan,8,,amanda,BN,0.0
241,7,name,2,pick moderately agree for all. tiffany.,7.0,0.0,jaime,5,amanda,sarah,BN,0.0
242,7,name,3,shazbot,7.0,0.0,pick moderately agree for all. tiffany.,8,sarah,abigail,BN,0.0
243,7,name,4,winnifer,10.0,0.0,shazbot,8,abigail,jessica,BN,0.0
244,7,name,5,hoobastank,1.0,0.0,winnifer,5,jessica,amanda,BN,0.0
245,7,name,6,jimothy,5.0,0.0,hoobastank,8,amanda,sara,BN,0.0
246,7,name,7,sara,2.0,0.0,jimothy,5,sara,amanda,RP,0.0
247,7,name,8,horse,3.0,0.0,sara,9,amanda,janet,BN,0.0
248,7,name,9,bimblebeeb,9.0,0.0,horse,6,janet,sarah,BN,0.0
249,7,name,10,sarah,5.0,1.0,bimblebeeb,5,sarah,sarah,RP,1.0
250,7,name,11,sarah,2.0,1.0,sarah,6,sarah,sarah,RS,2.0
251,7,name,12,sarah,7.0,0.0,sarah,9,sarah,janet,RP,2.0
252,7,name,13,sarah,9.0,0.0,sarah,9,janet,janet,RS,2.0
253,7,name,14,sarah,2.0,0.0,sarah,5,janet,kelly,RS,2.0
254,7,name,15,sarah,5.0,0.0,sarah,9,kelly,janet,RS,2.0
255,7,name,16,sarah,5.0,0.0,sarah,8,janet,amber,RS,2.0
256,7,name,17,sarah,4.0,0.0,sarah,9,amber,janet,RS,2.0
257,7,name,18,sarah,10.0,1.0,sarah,5,janet,sarah,RS,3.0
258,7,name,19,sarah,7.0,0.0,sarah,9,sarah,janet,RP,3.0
259,7,name,20,sarah,3.0,1.0,sarah,6,janet,sarah,RS,4.0
260,7,name,21,sarah,7.0,1.0,sarah,5,sarah,sarah,RS,5.0
261,7,name,22,sarah,10.0,0.0,sarah,9,sarah,janet,RS,5.0
262,7,name,23,sarah,9.0,1.0,sarah,6,janet,sarah,RS,6.0
263,7,name,24,sarah,3.0,0.0,sarah,9,sarah,janet,RS,6.0
264,7,name,25,sarah,8.0,1.0,sarah,6,janet,sarah,RS,7.0
265,7,name,26,sarah,2.0,0.0,sarah,5,sarah,emma,RP,7.0
266,7,name,27,sarah,7.0,0.0,sarah,5,emma,emma,RS,7.0
267,7,name,28,sarah,5.0,0.0,sarah,8,emma,janet,RS,7.0
268,7,name,29,sarah,4.0,1.0,sarah,5,janet,sarah,RS,8.0
269,7,name,30,sarah,5.0,1.0,sarah,6,sarah,sarah,RP,9.0
270,7,name,31,sarah,9.0,0.0,sarah,9,sarah,janet,RS,9.0
271,7,name,32,sarah,4.0,0.0,sarah,5,janet,emma,RS,9.0
272,7,name,33,sarah,3.0,0.0,sarah,8,emma,janet,RS,9.0
